know about:27
about that:25
but it:303
it not:48
not only:26
only the:65
owls that:2
that have:32
been acting:1
acting oddly:1
oddly today:1
viewers as:1
as far:69
far apart:3
apart as:2
as kent:1
and dundee:1
dundee have:1
been phoning:1
phoning in:1
in to:12
to tell:100
tell me:82
me that:54
that instead:2
instead of:21
the rain:25
rain i:2
i promised:9
promised yesterday:1
a downpour:1
downpour of:1
of shooting:1
shooting stars:5
perhaps people:1
people have:3
been celebrating:2
celebrating bonfire:1
bonfire night:1
night early:1
early it:1
not until:18
until next:1
next week:4
but i:429
i can:264
can promise:1
promise a:1
a wet:2
wet night:1
night tonight:1
dursley sat:1
sat frozen:2
frozen in:1
his armchair:1
stars all:1
over britain:1
owls flying:1
flying by:1
by daylight:2
mysterious people:1
cloaks all:1
the place:48
a whisper:20
whisper about:1
dursley came:1
came into:45
room carrying:1
carrying two:1
two cups:1
cups of:1
of tea:5
no good:63
have to:130
to her:31
he cleared:3
cleared his:5
his throat:20
throat nervously:1
er petunia:1
dear you:1
you haven:19
haven heard:3
heard from:3
from your:21
your sister:2
sister lately:1
have you:106
had expected:17
dursley looked:1
looked shocked:3
shocked and:3
and angry:9
after all:85
they normally:1
normally pretended:1
she said:99
said sharply:2
funny stuff:1
stuff on:3
the news:34
dursley mumbled:1
and there:396
were a:46
of funny:2
funny looking:1
looking people:1
in town:1
town today:1
snapped mrs:1
i just:22
just thought:4
was something:19
to do:262
do with:60
her crowd:1
dursley sipped:1
sipped her:1
her tea:1
tea through:1
through pursed:1
pursed lips:1
wondered whether:5
whether he:23
he dared:12
dared tell:1
tell her:5
her he:1
he heard:111
heard the:84
the name:67
he decided:6
decided he:2
didn dare:6
instead he:2
as casually:1
casually as:1
he could:433
son he:1
he be:38
be about:3
about dudley:1
dudley age:1
age now:1
wouldn he:2
i suppose:94
suppose so:4
said mrs:3
dursley stiffly:1
what his:7
his name:40
name again:1
isn it:13
common name:1
if you:482
you ask:17
ask me:16
his heart:97
heart sinking:2
sinking horribly:1
i quite:1
quite agree:1
didn say:5
say another:3
another word:5
word on:2
the subject:3
subject as:1
as they:446
they went:166
went upstairs:1
upstairs to:3
while mrs:1
the bathroom:2
dursley crept:1
crept to:4
the bedroom:2
bedroom window:1
window and:8
and peered:14
peered down:3
down into:94
the front:41
front garden:1
cat was:1
still there:28
was staring:9
staring down:3
down privet:1
drive as:1
as though:62
though it:62
it were:62
were waiting:3
waiting for:34
was he:24
he imagining:1
could all:7
all this:68
this have:1
have anything:4
if it:160
it did:52
it got:17
got out:18
out that:13
were related:3
related to:4
to a:301
a pair:16
pair of:20
of well:5
think he:37
dursleys got:1
into bed:4
dursley fell:1
fell asleep:26
asleep quickly:1
quickly but:2
but mr:5
dursley lay:1
lay awake:2
turning it:3
it all:70
over in:2
his last:21
comforting thought:1
thought before:2
before he:95
he fell:74
asleep was:2
that even:29
even if:87
potters were:1
were involved:1
no reason:10
for them:62
them to:105
to come:158
come near:3
near him:11
him and:125
potters knew:1
knew very:2
very well:42
well what:4
he and:32
and petunia:2
petunia thought:1
thought about:4
about them:96
them and:100
their kind:5
see how:20
how he:29
petunia could:1
could get:26
get mixed:2
mixed up:8
up in:117
anything that:22
that might:23
might be:91
be going:27
going on:73
on he:9
he yawned:3
yawned and:3
and turned:54
turned over:5
over it:28
it couldn:3
couldn affect:1
affect them:1
how very:2
very wrong:1
wrong he:1
dursley might:1
been drifting:2
drifting into:1
into an:13
an uneasy:7
uneasy sleep:4
but the:408
cat on:2
the wall:142
wall outside:1
outside was:2
was showing:1
showing no:1
no sign:65
of sleepiness:2
was sitting:25
sitting as:1
as still:7
still as:15
as a:231
a statue:2
eyes fixed:4
fixed unblinkingly:1
unblinkingly on:1
the far:66
far corner:2
didn so:1
much as:33
as quiver:1
quiver when:1
when a:19
a car:3
car door:1
door slammed:1
slammed on:1
the next:106
next street:1
nor when:2
when two:2
two owls:1
owls swooped:1
swooped overhead:1
was nearly:14
nearly midnight:3
midnight before:1
before the:200
cat moved:1
moved at:4
a man:80
man appeared:1
appeared on:2
corner the:1
cat had:2
been watching:8
appeared so:1
so suddenly:4
suddenly and:16
and silently:5
silently you:1
you have:329
have thought:24
he just:26
just popped:1
popped out:1
cat tail:1
tail twitched:1
twitched and:2
and its:65
eyes narrowed:1
nothing like:4
like this:48
this man:4
had ever:37
ever been:17
been seen:17
seen on:6
on privet:1
was tall:13
and very:39
very old:14
judging by:1
by the:508
the silver:21
silver of:2
his hair:23
hair and:15
and beard:5
which were:23
were both:5
both long:1
long enough:17
enough to:70
to tuck:1
tuck into:1
his belt:19
wearing long:1
long robes:1
a purple:2
purple cloak:1
cloak that:4
that swept:1
swept the:7
and high:17
high heeled:1
buckled boots:1
his blue:3
blue eyes:4
eyes were:55
were light:2
and sparkling:1
sparkling behind:1
behind half:1
half moon:3
moon spectacles:1
spectacles and:1
his nose:23
nose was:4
was very:76
very long:23
long and:43
and crooked:2
been broken:4
broken at:2
at least:172
least twice:1
man name:2
name was:12
was albus:1
albus dumbledore:9
dumbledore didn:2
seem to:70
to realize:3
realize that:8
had just:38
just arrived:1
a street:1
street where:1
where everything:2
everything from:1
from his:124
name to:2
his boots:6
boots was:1
was unwelcome:1
was busy:12
busy rummaging:1
rummaging in:1
his cloak:33
looking for:43
but he:360
did seem:3
realize he:1
being watched:5
looked up:89
up suddenly:3
suddenly at:4
which was:78
still staring:3
staring at:23
at him:140
him from:36
the other:254
other end:10
end of:210
for some:97
some reason:3
the sight:20
sight of:53
cat seemed:1
to amuse:4
amuse him:1
he chuckled:6
chuckled and:3
and muttered:6
i should:155
should have:77
have known:18
found what:5
was looking:35
for in:21
his inside:1
inside pocket:2
it seemed:279
a silver:20
silver cigarette:1
cigarette lighter:1
he flicked:2
flicked it:1
it open:6
held it:24
it up:61
the air:210
and clicked:1
clicked it:3
the nearest:17
nearest street:1
street lamp:1
lamp went:1
went out:63
out with:24
little pop:1
he clicked:3
it again:40
again the:30
next lamp:1
lamp flickered:2
flickered into:1
into darkness:11
twelve times:1
times he:4
clicked the:1
the put:2
put outer:3
until the:60
the only:94
only lights:1
lights left:1
left on:6
the whole:82
whole street:1
street were:1
were two:11
two tiny:2
tiny pinpricks:1
pinpricks in:1
the distance:46
the eyes:49
eyes of:34
cat watching:1
watching him:8
anyone looked:1
looked out:36
of their:294
their window:1
window now:1
even beady:1
beady eyed:1
eyed mrs:1
they wouldn:4
wouldn be:11
be able:40
able to:72
see anything:12
was happening:11
happening down:1
down on:67
the pavement:4
dumbledore slipped:1
slipped the:5
outer back:1
back inside:5
inside his:9
cloak and:22
off down:11
down the:278
street toward:1
toward number:1
where he:89
sat down:75
wall next:1
didn look:8
look at:83
at it:56
but after:19
after a:120
a moment:177
moment he:39
he spoke:99
spoke to:37
to it:74
fancy seeing:1
seeing you:3
you here:17
professor mcgonagall:95
he turned:125
turned to:86
to smile:2
smile at:2
had gone:95
was smiling:10
smiling at:4
at a:104
a rather:6
rather severe:1
severe looking:1
looking woman:1
woman who:2
who was:88
wearing square:1
square glasses:1
glasses exactly:1
exactly the:6
the shape:9
shape of:16
the markings:1
markings the:1
had around:1
a cloak:9
emerald one:1
her black:1
black hair:7
hair was:21
was drawn:15
drawn into:1
a tight:9
tight bun:1
she looked:14
looked distinctly:1
distinctly ruffled:1
how did:19
did you:88
know it:33
was me:2
she asked:5
dear professor:3
i never:59
seen a:19
cat sit:1
sit so:1
so stiffly:1
you be:56
be stiff:1
stiff if:1
you been:23
been sitting:3
a brick:3
brick wall:2
wall all:3
all day:27
said professor:17
when you:85
you could:61
could have:73
i must:113
have passed:27
a dozen:24
dozen feasts:1
feasts and:1
and parties:1
parties on:1
on my:44
my way:12
way here:1
mcgonagall sniffed:1
sniffed angrily:1
oh yes:6
everyone celebrating:1
all right:82
said impatiently:1
you think:86
they be:17
more careful:8
but no:48
no even:1
even the:71
the muggles:9
muggles have:1
have noticed:8
noticed something:1
something going:1
on their:135
their news:1
she jerked:2
jerked her:2
her head:13
head back:3
dursleys dark:1
dark living:1
room window:2
heard it:22
flocks of:4
they not:16
not completely:1
completely stupid:1
were bound:3
bound to:3
to notice:8
notice something:1
stars down:1
in kent:1
kent i:1
i bet:17
bet that:2
was dedalus:1
dedalus diggle:4
never had:22
had much:10
much sense:1
you can:199
can blame:1
blame them:2
said dumbledore:27
dumbledore gently:2
we had:72
had precious:3
precious little:3
little to:14
to celebrate:4
celebrate for:1
for eleven:2
eleven years:2
i know:124
know that:65
mcgonagall irritably:1
but that:92
that no:41
reason to:8
to lose:26
lose our:1
our heads:4
people are:6
are being:2
being downright:1
downright careless:1
out on:43
the streets:9
streets in:1
not even:74
even dressed:1
in muggle:1
muggle clothes:1
swapping rumors:1
she threw:1
threw a:4
a sharp:28
sideways glance:1
glance at:10
at dumbledore:3
dumbledore here:1
though hoping:1
was going:89
her something:1
so she:2
she went:6
went on:146
a fine:21
fine thing:2
thing it:5
it would:142
be if:1
the very:100
very day:2
day youknow:1
youknow who:1
who seems:1
seems to:50
to have:223
have disappeared:1
disappeared at:2
muggles found:1
about us:12
us all:27
suppose he:8
he really:14
really has:1
it certainly:4
certainly seems:1
seems so:2
we have:256
have much:9
much to:41
be thankful:5
thankful for:3
would you:41
you care:4
care for:10
a lemon:3
lemon drop:3
a what:3
they a:6
a kind:15
kind of:28
of muggle:1
muggle sweet:1
sweet i:1
i rather:4
rather fond:3
fond of:24
mcgonagall coldly:1
though she:5
think this:4
the moment:80
moment for:1
for lemon:1
lemon drops:2
as i:160
i say:70
surely a:1
a sensible:1
sensible person:1
person like:1
yourself can:1
can call:1
call him:13
him by:22
by his:70
this know:1
who nonsense:1
nonsense for:1
years i:4
i have:519
been trying:9
to persuade:4
persuade people:1
people to:6
to call:24
his proper:2
proper name:4
mcgonagall flinched:1
but dumbledore:3
was unsticking:1
unsticking two:1
two lemon:1
seemed not:2
all gets:1
gets so:1
so confusing:2
confusing if:1
if we:149
we keep:7
keep saying:1
saying know:1
have never:58
seen any:4
any reason:3
be frightened:4
frightened of:7
of saying:3
saying voldemort:1
voldemort name:1
know you:14
sounding half:1
half exasperated:1
half admiring:1
but you:126
you different:1
everyone knows:4
knows you:1
you the:31
only one:52
one you:4
know oh:1
was frightened:1
you flatter:1
